comment,sentiment
@Tesla @SawyerMerritt 12.4.3 is very cautious with pedestrians.. it’s a good thing but also frustrating at times constantly stopping in the cities.,Positive
"@Tesla in the development of autonomous driving technology. By using data collected from actual vehicles on the road, engineers can gain valuable insights into real-world driving scenarios, traffic patterns, and potential hazards. This allows for more accurate and reliable training of",Positive
@Tesla @elonmusk So do beginners press their right foot to the floor initially?,Negative
@Tesla @TeslaEspresso 글로벌 와이드 릴리즈가 대체 언젠가요?ㅠㅠ,Positive
@Tesla After the last few updates it sure doesn’t feel like the training is improving much. Many many regressions. How does that happen??,Positive
"✨🚀Flot AI is the #1 AI language assistant that works on all webs and apps.

➡️Try it Free.",Positive
"@Tesla Works like
clockwork 💝",Positive
"@Tesla This is not good driving.
One should not restrict the flow of traffic for random pedestrians loitering at the side of the road.",Positive
"@Tesla @SawyerMerritt For me 12.4.3 is disaster. It’s literally driving on highway on one side of lane , sometimes crossing the lane . Very scary. 12.3.6 was better. If it’s keep doing it , I ll cancel my subscription.",Positive
@Tesla You're so smart #tesla. I like what I am sharing the road with you. I feel safe. 💜 I hope you can hear me when I say hello to you!,Positive
@Tesla @elonmusk Wow 🤩,Positive
@Tesla @elonmusk Good,Positive
@Tesla @elonmusk Fascinating 🔥👌,Positive
@Tesla Is 8/8 still happening? I'm cool if you delay it,Negative
"✨🚀Flot AI is the #1 AI language assistant that works on all webs and apps.

➡️Try it Free.",Positive
"@Tesla @WholeMarsBlog Yep, $MBLY vs. $TSLA 🤣 Not even a close competition",Positive
@Tesla Please add more training for temporary bypass lanes. They are all over the place and I can't tell you how frustrating it is to frequently be moving into them unnecessarily.,Positive
@Tesla Great 🇮🇳✌️,Positive
@Tesla ♥️👏🏻👏🏻👏🏻👏🏻,Positive
@Tesla Tesla is definitely going to be very big using those data.,Positive
"@Tesla @elonmusk Training - humans need to see this example and use it to train themselves 

One choice at a time

Do you remember Hal?",Positive
@Tesla This should be interesting.,Positive
@Tesla It sure does!,Positive
@Tesla @elonmusk Is it becoming psychic?,Positive
